frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,200,0.8,0.90878,2.01599,1,0.0243,0.88647,0.21643
000001_lcam_front_lidar.ply,0.25,200,0.8,0.94647,2.04413,1,0.02541,0.89504,0.17354
000002_lcam_front_lidar.ply,0.25,200,0.8,0.99067,2.10333,1,0.02847,0.90929,0.21908
000003_lcam_front_lidar.ply,0.25,200,0.8,0.98805,2.04468,1,0.00576,0.99356,0.01502
000004_lcam_front_lidar.ply,0.25,200,0.8,1.14266,2.01623,1,0.00459,0.98516,0.02552
000005_lcam_front_lidar.ply,0.25,200,0.8,1.00166,1.97283,1,0.02054,0.88374,0.26395
000006_lcam_front_lidar.ply,0.25,200,0.8,1.16255,1.90753,1,0.01001,0.90374,0.22138
000007_lcam_front_lidar.ply,0.25,200,0.8,1.07741,1.97817,1,0.0138,0.9201,0.21321
000008_lcam_front_lidar.ply,0.25,200,0.8,1.16082,2.05699,1,0.00608,0.99808,0.02739
000009_lcam_front_lidar.ply,0.25,200,0.8,0.98962,1.93558,1,0.01234,0.90607,0.24722
000010_lcam_front_lidar.ply,0.25,200,0.8,1.04844,2.05628,1,0.00603,0.99801,0.0236
000011_lcam_front_lidar.ply,0.25,200,0.8,1.10977,1.78268,1,0.00943,0.84417,0.18458
000012_lcam_front_lidar.ply,0.25,200,0.8,1.03184,2.01836,1,0.0066,0.97619,0.17803
000013_lcam_front_lidar.ply,0.25,200,0.8,1.28559,1.96821,1,0.00861,0.94105,0.14941
000014_lcam_front_lidar.ply,0.25,200,0.8,0.97225,1.88099,1,0.01144,0.88327,0.27745
000015_lcam_front_lidar.ply,0.25,200,0.8,1.14591,2.22176,1,0.02455,0.98811,0.33848
000016_lcam_front_lidar.ply,0.25,200,0.8,1.30083,2.0567,1,0.01187,0.96899,0.25202
000017_lcam_front_lidar.ply,0.25,200,0.8,1.30507,2.05531,1,0.00571,0.9991,0.00933
000018_lcam_front_lidar.ply,0.25,200,0.8,1.28337,2.0519,1,0.00743,0.98879,0.15239
000019_lcam_front_lidar.ply,0.25,200,0.8,2.06013,2.037,1,0.00372,0.9999,0.00283
000020_lcam_front_lidar.ply,0.25,200,0.8,1.89504,2.02939,1,0.01279,0.95074,0.30963
000021_lcam_front_lidar.ply,0.25,200,0.8,1.50704,2.09862,1,0.01126,0.99299,0.09303
000022_lcam_front_lidar.ply,0.25,200,0.8,2.45686,1.95609,1,0.0033,0.96153,0.19293
000023_lcam_front_lidar.ply,0.25,200,0.8,2.1633,1.82482,1,0.00709,0.87697,0.22503
000024_lcam_front_lidar.ply,0.25,200,0.8,2.35219,2.03395,1,0.00365,0.99874,0.00651
000025_lcam_front_lidar.ply,0.25,200,0.8,2.69695,2.01494,1,0.00204,0.99727,0.00528
000026_lcam_front_lidar.ply,0.25,200,0.8,2.3092,1.85584,1,0.00658,0.89504,0.18086
000027_lcam_front_lidar.ply,0.25,200,0.8,2.1514,2.11117,1,0.018,0.96557,0.25073
000028_lcam_front_lidar.ply,0.25,200,0.8,2.51098,2.02478,1,0.01278,0.9485,0.28679
000029_lcam_front_lidar.ply,0.25,200,0.8,1.9696,1.98556,1,0.01628,0.91136,0.31124
000030_lcam_front_lidar.ply,0.25,200,0.8,1.97002,2.13259,1,0.01439,0.99435,0.23273
000031_lcam_front_lidar.ply,0.25,200,0.8,1.86377,2.29746,1,0.03442,0.97665,0.27865
000032_lcam_front_lidar.ply,0.25,200,0.8,1.43408,2.00378,1,0.0012,0.99587,0.00227
000033_lcam_front_lidar.ply,0.25,200,0.8,1.38748,1.90721,1,0.00424,0.9324,0.18978
000034_lcam_front_lidar.ply,0.25,200,0.8,2.22445,1.99132,1,0.00554,0.96795,0.25661
000035_lcam_front_lidar.ply,0.25,200,0.8,1.9568,2.00338,1,0.00108,0.99629,0.00141
000036_lcam_front_lidar.ply,0.25,200,0.8,1.71806,1.98118,1,0.00677,0.95672,0.17649
000037_lcam_front_lidar.ply,0.25,200,0.8,2.51983,2.00748,1,0.00159,0.99579,0.00194
