frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,200,0.8,0.38305,2.04384,1,0.00712,0.9863,0.37068
000001_lcam_front_lidar.ply,0.25,200,0.8,0.3998,1.71872,1,0.00607,0.82899,0.36172
000002_lcam_front_lidar.ply,0.25,200,0.8,0.50874,1.99646,1,0.00753,0.9606,0.33435
000003_lcam_front_lidar.ply,0.25,200,0.8,0.43533,1.90447,1,0.00539,0.92529,0.35449
000004_lcam_front_lidar.ply,0.25,200,0.8,0.49468,2.09994,1,0.01365,0.9817,0.30307
000005_lcam_front_lidar.ply,0.25,200,0.8,0.57458,1.80325,1,0.00613,0.87099,0.343
000006_lcam_front_lidar.ply,0.25,200,0.8,0.40674,2.03051,1,0.00841,0.97322,0.42448
000007_lcam_front_lidar.ply,0.25,200,0.8,0.46924,1.99627,1,0.00697,0.96326,0.31394
000008_lcam_front_lidar.ply,0.25,200,0.8,0.43074,2.03091,1,0.00743,0.9783,0.39177
000009_lcam_front_lidar.ply,0.25,200,0.8,0.53385,1.93214,1,0.01004,0.91585,0.28061
000010_lcam_front_lidar.ply,0.25,200,0.8,0.48124,1.78299,1,0.01122,0.83541,0.24635
000011_lcam_front_lidar.ply,0.25,200,0.8,0.46624,2.03589,1,0.0127,0.95444,0.33468
000012_lcam_front_lidar.ply,0.25,200,0.8,0.52805,1.9098,1,0.00625,0.92363,0.20538
000013_lcam_front_lidar.ply,0.25,200,0.8,0.53942,1.79153,1,0.01736,0.80898,0.33711
000014_lcam_front_lidar.ply,0.25,200,0.8,0.68621,2.074,1,0.00763,0.99885,0.32837
000015_lcam_front_lidar.ply,0.25,200,0.8,0.49906,1.92206,1,0.00665,0.92779,0.18571
000016_lcam_front_lidar.ply,0.25,200,0.8,0.6027,2.41211,1,0.0416,0.99806,0.33947
000017_lcam_front_lidar.ply,0.25,200,0.8,0.60127,2.45916,1,0.04617,0.99873,0.34801
000018_lcam_front_lidar.ply,0.25,200,0.8,0.52372,2.06264,1,0.00829,0.98985,0.39258
000019_lcam_front_lidar.ply,0.25,200,0.8,0.53885,2.13479,1,0.0156,0.98939,0.31744
000020_lcam_front_lidar.ply,0.25,200,0.8,0.47785,2.00565,1,0.00176,0.99401,0.00408
000021_lcam_front_lidar.ply,0.25,200,0.8,0.61071,2.02079,1,0.00857,0.96755,0.24756
000022_lcam_front_lidar.ply,0.25,200,0.8,0.63541,1.88665,1,0.01221,0.88227,0.32378
000023_lcam_front_lidar.ply,0.25,200,0.8,0.57054,2.15832,1,0.02739,0.94221,0.27796
000024_lcam_front_lidar.ply,0.25,200,0.8,0.41442,2.01976,1,0.00959,0.96193,0.37937
000025_lcam_front_lidar.ply,0.25,200,0.8,0.57694,1.93308,1,0.00901,0.92147,0.32324
000026_lcam_front_lidar.ply,0.25,200,0.8,0.5033,2.14248,1,0.02488,0.94687,0.30062
000027_lcam_front_lidar.ply,0.25,200,0.8,0.41957,2.0173,1,0.00205,0.99842,0.00462
000028_lcam_front_lidar.ply,0.25,200,0.8,0.62124,2.13442,1,0.0171,0.98171,0.28955
000029_lcam_front_lidar.ply,0.25,200,0.8,0.45735,2.11398,1,0.02225,0.94574,0.28617
000030_lcam_front_lidar.ply,0.25,200,0.8,0.44787,2.1465,1,0.0228,0.95925,0.31911
000031_lcam_front_lidar.ply,0.25,200,0.8,0.5122,1.75641,1,0.00203,0.86806,0.19277
000032_lcam_front_lidar.ply,0.25,200,0.8,0.51984,2.20832,1,0.02576,0.97534,0.36963
000033_lcam_front_lidar.ply,0.25,200,0.8,0.55455,2.15025,1,0.02433,0.95349,0.31142
000034_lcam_front_lidar.ply,0.25,200,0.8,0.44988,2.01283,1,0.00212,0.99583,0.00796
000035_lcam_front_lidar.ply,0.25,200,0.8,0.554,1.99464,1,0.00023,0.99617,0.00013
000036_lcam_front_lidar.ply,0.25,200,0.8,0.44387,1.98892,1,0.01094,0.93977,0.2098
000037_lcam_front_lidar.ply,0.25,200,0.8,0.51791,2.17295,1,0.02419,0.96551,0.31794
000038_lcam_front_lidar.ply,0.25,200,0.8,0.44999,2.14986,1,0.02288,0.96054,0.30515
000039_lcam_front_lidar.ply,0.25,200,0.8,0.48515,2.01753,1,0.00192,0.99915,0.00344
000040_lcam_front_lidar.ply,0.25,200,0.8,0.44407,2.13805,1,0.02113,0.96337,0.3107
000041_lcam_front_lidar.ply,0.25,200,0.8,0.46766,2.01757,1,0.00192,0.99917,0.00328
000042_lcam_front_lidar.ply,0.25,200,0.8,0.52649,2.12782,1,0.01861,0.97087,0.29725
000043_lcam_front_lidar.ply,0.25,200,0.8,0.47129,2.01415,1,0.00219,0.99614,0.00871
000044_lcam_front_lidar.ply,0.25,200,0.8,0.40802,2.01452,1,0.0022,0.99624,0.00849
000045_lcam_front_lidar.ply,0.25,200,0.8,0.56348,1.99636,1,0.00824,0.95699,0.28748
000046_lcam_front_lidar.ply,0.25,200,0.8,0.47273,1.73026,1,0.0046,0.84211,0.18503
000047_lcam_front_lidar.ply,0.25,200,0.8,0.50147,2.17131,1,0.01904,0.99045,0.31988
000048_lcam_front_lidar.ply,0.25,200,0.8,0.40898,1.95561,1,0.01112,0.92222,0.35545
000049_lcam_front_lidar.ply,0.25,200,0.8,0.47833,2.05623,1,0.01502,0.95304,0.38477
000050_lcam_front_lidar.ply,0.25,200,0.8,0.47749,2.13509,1,0.02068,0.96413,0.32869
000051_lcam_front_lidar.ply,0.25,200,0.8,0.4938,2.15671,1,0.0185,0.98588,0.34881
000052_lcam_front_lidar.ply,0.25,200,0.8,0.44997,2.09479,1,0.02118,0.94152,0.32578
000053_lcam_front_lidar.ply,0.25,200,0.8,0.49692,2.09035,1,0.01579,0.96621,0.32851
000054_lcam_front_lidar.ply,0.25,200,0.8,0.47658,2.07048,1,0.01995,0.93548,0.31902
000055_lcam_front_lidar.ply,0.25,200,0.8,0.51797,2.01082,1,0.00201,0.99536,0.0095
000056_lcam_front_lidar.ply,0.25,200,0.8,0.54098,2.07863,1,0.01291,0.97475,0.28975
000057_lcam_front_lidar.ply,0.25,200,0.8,0.6647,2.03176,1,0.00347,0.99851,0.00697
000058_lcam_front_lidar.ply,0.25,200,0.8,0.57674,1.85811,1,0.00548,0.90163,0.22786
000059_lcam_front_lidar.ply,0.25,200,0.8,0.43781,1.99468,1,0.00125,0.99108,0.00427
000060_lcam_front_lidar.ply,0.25,200,0.8,0.58196,2.00885,1,0.00115,0.99869,0.00141
000061_lcam_front_lidar.ply,0.25,200,0.8,0.44876,2.07267,1,0.01698,0.95144,0.31199
000062_lcam_front_lidar.ply,0.25,200,0.8,0.65219,1.97527,1,0.01667,0.90431,0.37462
000063_lcam_front_lidar.ply,0.25,200,0.8,0.547,2.00893,1,0.00116,0.99865,0.00152
000064_lcam_front_lidar.ply,0.25,200,0.8,0.66245,2.02189,1,0.0022,0.99992,0.00169
000065_lcam_front_lidar.ply,0.25,200,0.8,0.70144,1.82244,1,0.00656,0.87843,0.20087
000066_lcam_front_lidar.ply,0.25,200,0.8,0.61101,1.96481,1,0.0031,0.96688,0.25465
000067_lcam_front_lidar.ply,0.25,200,0.8,0.55754,2.12891,1,0.01471,0.99089,0.34365
000068_lcam_front_lidar.ply,0.25,200,0.8,0.62946,2.08287,1,0.02158,0.93354,0.28428
000069_lcam_front_lidar.ply,0.25,200,0.8,0.56789,1.88877,1,0.00189,0.93495,0.24629
000070_lcam_front_lidar.ply,0.25,200,0.8,0.59845,2.03874,1,0.00501,0.99431,0.24886
000071_lcam_front_lidar.ply,0.25,200,0.8,0.62058,1.634,1,0.00231,0.80544,0.16803
000072_lcam_front_lidar.ply,0.25,200,0.8,0.6203,1.97793,1,0.00198,0.97908,0.14396
000073_lcam_front_lidar.ply,0.25,200,0.8,0.73864,1.76569,1,0.00768,0.84446,0.17302
