frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.25,200,0.8,2.03057,1.99053,1,0.00055,0.99254,0.0006
000001_lcam_front_lidar.ply,0.25,200,0.8,2.17079,1.92398,1,0.00345,0.94476,0.04224
000002_lcam_front_lidar.ply,0.25,200,0.8,1.43743,1.90172,1,0.00491,0.9263,0.08014
000003_lcam_front_lidar.ply,0.25,200,0.8,1.44404,2.02416,1,0.00377,0.99324,0.37774
000004_lcam_front_lidar.ply,0.25,200,0.8,1.62326,1.99286,1,0.00237,0.9846,0.01496
000005_lcam_front_lidar.ply,0.25,200,0.8,1.49696,2.21026,1,0.02115,0.99935,0.16246
000006_lcam_front_lidar.ply,0.25,200,0.8,1.57733,1.98052,1,0.00158,0.98235,0.0058
000007_lcam_front_lidar.ply,0.25,200,0.8,1.00639,1.87309,1,0.00531,0.91,0.08879
000008_lcam_front_lidar.ply,0.25,200,0.8,1.30928,1.94496,1,0.00252,0.95988,0.2586
000009_lcam_front_lidar.ply,0.25,200,0.8,1.42727,2.03584,1,0.00379,0.99895,0.01658
000010_lcam_front_lidar.ply,0.25,200,0.8,1.67515,2.00465,1,0.00583,0.97317,0.09444
000011_lcam_front_lidar.ply,0.25,200,0.8,1.33108,1.92739,1,0.00088,0.95928,0.28514
000012_lcam_front_lidar.ply,0.25,200,0.8,1.25292,1.66485,1,0.00548,0.80503,0.07838
000013_lcam_front_lidar.ply,0.25,200,0.8,1.31012,2.02872,1,0.00308,0.99898,0.00906
000014_lcam_front_lidar.ply,0.25,200,0.8,1.47078,1.98325,1,0.00167,0.98327,0.00941
000015_lcam_front_lidar.ply,0.25,200,0.8,1.75805,1.81767,1,0.00894,0.86416,0.30427
000016_lcam_front_lidar.ply,0.25,200,0.8,1.70799,1.95109,1,0.00567,0.9472,0.08312
000017_lcam_front_lidar.ply,0.25,200,0.8,1.86834,1.96874,1,0.00193,0.9747,0.40723
000018_lcam_front_lidar.ply,0.25,200,0.8,1.86441,1.96443,1,0.00566,0.95393,0.07792
000019_lcam_front_lidar.ply,0.25,200,0.8,1.61235,2.00234,1,0.00096,0.99637,0.00131
000020_lcam_front_lidar.ply,0.25,200,0.8,1.44224,1.86828,1,0.01386,0.86485,0.36876
000021_lcam_front_lidar.ply,0.25,200,0.8,1.44197,2.08498,1,0.01057,0.98966,0.35909
000022_lcam_front_lidar.ply,0.25,200,0.8,0.9616,1.77457,1,0.00137,0.88044,0.22981
000023_lcam_front_lidar.ply,0.25,200,0.8,1.20331,1.91985,1,0.00546,0.93261,0.05754
000024_lcam_front_lidar.ply,0.25,200,0.8,1.52804,1.77169,1,0.00163,0.87768,0.3705
000025_lcam_front_lidar.ply,0.25,200,0.8,1.12572,1.90128,1,0.00175,0.9419,0.26539
000026_lcam_front_lidar.ply,0.25,200,0.8,1.10887,2.01555,1,0.00182,0.99866,0.0036
000027_lcam_front_lidar.ply,0.25,200,0.8,1.17287,1.94198,1,0.00096,0.96619,0.00593
000028_lcam_front_lidar.ply,0.25,200,0.8,1.24687,1.85879,1,0.01016,0.8786,0.31346
000029_lcam_front_lidar.ply,0.25,200,0.8,1.33846,2.05196,1,0.00579,0.99702,0.05793
000030_lcam_front_lidar.ply,0.25,200,0.8,1.17383,2.0487,1,0.00593,0.99471,0.06241
000031_lcam_front_lidar.ply,0.25,200,0.8,1.01039,2.04733,1,0.00615,0.99293,0.0658
000032_lcam_front_lidar.ply,0.25,200,0.8,1.00996,2.05416,1,0.00622,0.996,0.04816
