frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.1,800,0.9,0.03765,0.2426,1,0.0,0.0,0.0
000001_lcam_front_lidar.ply,0.1,800,0.9,0.04291,0.33606,1,0.10993,0.0374,0.03141
000002_lcam_front_lidar.ply,0.1,800,0.9,0.03938,0.2431,1,0.0,0.0,0.0
000003_lcam_front_lidar.ply,0.1,800,0.9,0.03639,0.3246,1,0.09903,0.04363,0.03334
000004_lcam_front_lidar.ply,0.1,800,0.9,0.05828,0.32872,1,0.1035,0.04237,0.03193
000005_lcam_front_lidar.ply,0.1,800,0.9,0.04578,0.32633,1,0.10133,0.04507,0.0327
000006_lcam_front_lidar.ply,0.1,500,0.9,0.07144,0.32515,1,0.10112,0.0408,0.03144
000007_lcam_front_lidar.ply,0.1,500,0.9,0.06013,0.32677,1,0.10177,0.04192,0.03156
000008_lcam_front_lidar.ply,0.1,500,0.9,0.06,0.3251,1,0.10112,0.04246,0.03162
000009_lcam_front_lidar.ply,0.1,500,0.9,0.08261,0.31547,1,0.10387,0.0574,0.05321
000010_lcam_front_lidar.ply,0.1,500,0.9,0.06766,0.32348,1,0.11059,0.06862,0.05564
000011_lcam_front_lidar.ply,0.1,500,0.9,0.07524,0.32569,1,0.11468,0.0617,0.0566
000012_lcam_front_lidar.ply,0.1,500,0.9,0.08603,0.32608,1,0.11541,0.06099,0.05508
000013_lcam_front_lidar.ply,0.1,500,0.9,0.06647,0.32199,1,0.1071,0.0787,0.05054
000014_lcam_front_lidar.ply,0.1,500,0.9,0.07004,0.34644,1,0.11224,0.00136,0.01037
000015_lcam_front_lidar.ply,0.1,800,0.9,0.07668,0.34567,1,0.11045,0.00125,0.00891
000016_lcam_front_lidar.ply,0.1,800,0.9,0.05531,0.33282,1,0.1164,0.07012,0.0519
000017_lcam_front_lidar.ply,0.15,800,0.9,0.06364,0.32762,1,0.11461,0.06837,0.05336
000018_lcam_front_lidar.ply,0.15,800,0.9,0.1458,0.31661,1,0.11174,0.06815,0.05479
000019_lcam_front_lidar.ply,0.15,800,0.9,0.06465,0.33,1,0.11647,0.06446,0.05412
000020_lcam_front_lidar.ply,0.15,800,0.9,0.05764,0.34132,1,0.12636,0.06329,0.05384
000021_lcam_front_lidar.ply,0.15,800,0.9,0.08611,0.34324,1,0.13071,0.05974,0.05099
000022_lcam_front_lidar.ply,0.15,800,0.9,0.05533,0.34919,1,0.13447,0.06166,0.05265
000023_lcam_front_lidar.ply,0.15,800,0.9,0.05634,0.35629,1,0.14074,0.07174,0.05164
000024_lcam_front_lidar.ply,0.15,800,0.9,0.07092,0.35509,1,0.14202,0.07331,0.0519
000025_lcam_front_lidar.ply,0.15,800,0.9,0.05337,0.3637,1,0.14825,0.06957,0.05071
000026_lcam_front_lidar.ply,0.15,800,0.9,0.06078,0.36735,1,0.15052,0.07113,0.04915
