frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.15,800,0.9,0.22654,0.21568,1,0.0,0.0,0.0
000001_lcam_front_lidar.ply,0.15,800,0.9,0.2264,0.20164,1,0.04235,0.99131,0.11459
000002_lcam_front_lidar.ply,0.15,800,0.9,0.22544,0.23101,1,0.06401,0.99343,0.10214
000003_lcam_front_lidar.ply,0.15,800,0.9,0.20827,0.22703,1,0.06747,0.99301,0.11889
000004_lcam_front_lidar.ply,0.15,800,0.9,0.25768,0.21806,1,0.06342,0.99229,0.11607
000005_lcam_front_lidar.ply,0.15,800,0.9,0.20707,0.23483,1,0.0786,0.99246,0.12661
000006_lcam_front_lidar.ply,0.15,800,0.9,0.22856,0.23567,1,0.08099,0.99217,0.1199
000007_lcam_front_lidar.ply,0.15,800,0.9,0.17923,0.246,1,0.07352,0.99141,0.10089
000008_lcam_front_lidar.ply,0.15,800,0.9,0.39728,0.20399,1,0.07135,0.99434,0.13318
000009_lcam_front_lidar.ply,0.15,800,0.9,0.18284,0.21238,1,0.02427,0.98814,0.06747
000010_lcam_front_lidar.ply,0.15,800,0.9,0.19618,0.21299,1,0.02565,0.98649,0.06349
000011_lcam_front_lidar.ply,0.15,800,0.9,0.18707,0.21099,1,0.0242,0.98679,0.06427
000012_lcam_front_lidar.ply,0.15,800,0.9,0.19065,0.23499,1,0.07128,0.99473,0.11182
000013_lcam_front_lidar.ply,0.15,800,0.9,0.18096,0.23593,1,0.07029,0.99401,0.10862
000014_lcam_front_lidar.ply,0.15,800,0.9,0.18957,0.24673,1,0.08019,0.99336,0.10896
000015_lcam_front_lidar.ply,0.15,800,0.9,0.17071,0.23293,1,0.07193,0.99438,0.12097
000016_lcam_front_lidar.ply,0.15,800,0.9,0.18673,0.23575,1,0.0673,0.99304,0.10271
000017_lcam_front_lidar.ply,0.15,800,0.9,0.20128,0.22387,1,0.06217,0.99346,0.11597
000018_lcam_front_lidar.ply,0.15,800,0.9,0.19811,0.24358,1,0.07781,0.99165,0.1044
000019_lcam_front_lidar.ply,0.15,800,0.9,0.16589,0.25099,1,0.08211,0.99309,0.10419
000020_lcam_front_lidar.ply,0.15,800,0.9,0.18443,0.25217,1,0.08118,0.99268,0.09816
000021_lcam_front_lidar.ply,0.15,800,0.9,0.16624,0.24644,1,0.07836,0.99293,0.10709
000022_lcam_front_lidar.ply,0.2,800,0.9,0.17562,0.2497,1,0.09915,0.99176,0.13435
000023_lcam_front_lidar.ply,0.15,800,0.9,0.16674,0.22613,1,0.05559,0.99399,0.10439
000024_lcam_front_lidar.ply,0.15,800,0.9,0.18998,0.23455,1,0.07678,0.99232,0.11989
000025_lcam_front_lidar.ply,0.15,800,0.9,0.19436,0.18363,1,0.05403,0.99843,0.17866
000026_lcam_front_lidar.ply,0.15,800,0.9,0.19033,0.22282,1,0.06739,0.99382,0.12772
000027_lcam_front_lidar.ply,0.15,800,0.9,0.155,0.22732,1,0.05961,0.99114,0.10653
000028_lcam_front_lidar.ply,0.15,800,0.9,0.17799,0.22239,1,0.0576,0.99335,0.11036
000029_lcam_front_lidar.ply,0.2,800,0.9,0.15668,0.19301,1,0.03938,0.99328,0.1381
000030_lcam_front_lidar.ply,0.15,800,0.9,0.18589,0.20695,1,0.02875,0.98792,0.0805
000031_lcam_front_lidar.ply,0.2,800,0.9,0.15527,0.21319,1,0.0333,0.98704,0.08486
000032_lcam_front_lidar.ply,0.2,800,0.9,0.15537,0.21493,1,0.03456,0.97659,0.08436
000033_lcam_front_lidar.ply,0.2,800,0.9,0.5984,0.16782,1,0.04888,0.97464,0.11069
000034_lcam_front_lidar.ply,0.2,800,0.9,0.14329,0.20515,1,0.02943,0.97139,0.10222
000035_lcam_front_lidar.ply,0.2,800,0.9,0.16437,0.26558,1,0.09948,0.98928,0.10845
000036_lcam_front_lidar.ply,0.2,800,0.9,0.13623,0.25657,1,0.08056,0.98895,0.09363
